Total puntos: 2400
Punto 0: (0.37184, 208.935) indice: 0
Punto 622: (205.836, 277.489) indice: 622
Punto 623: (206.009, 95.7002) indice: 623
Punto 624: (206.334, 104.749) indice: 624
Punto 625: (206.336, 39.6422) indice: 625
Punto 626: (206.686, 119.162) indice: 626
Punto 627: (207.032, 281.329) indice: 627
Punto 628: (207.041, 279.484) indice: 628
Punto 629: (207.3, 99.2121) indice: 629
Punto 630: (207.618, 109.781) indice: 630
Punto 631: (207.681, 110.08) indice: 631
Punto 632: (207.726, 28.8351) indice: 632
Punto 633: (207.835, 113.166) indice: 633
Punto 634: (207.951, 291.454) indice: 634
Punto 635: (208.407, 8.82173) indice: 635
Punto 636: (208.473, 266.986) indice: 636
Punto 637: (209.363, 281.618) indice: 637
Punto 638: (209.396, 100.198) indice: 638
Punto 639: (209.492, 277.326) indice: 639
Punto 640: (209.825, 295.549) indice: 640
Punto 641: (21.658, 291.751) indice: 641
Punto 642: (21.6889, 92.7344) indice: 642
Punto 643: (21.8796, 208.035) indice: 643
Punto 644: (21.9264, 107.888) indice: 644
Punto 645: (210.043, 34.46) indice: 645
Punto 646: (210.096, 98.0479) indice: 646
Punto 647: (210.128, 272.9) indice: 647
Punto 648: (210.187, 102.096) indice: 648
Punto 649: (210.189, 103.868) indice: 649
Punto 650: (210.306, 85.9008) indice: 650
Punto 651: (210.578, 273.063) indice: 651
Punto 652: (210.627, 121.479) indice: 652
Punto 653: (210.636, 33.3577) indice: 653
Punto 654: (210.686, 45.0137) indice: 654
Punto 655: (210.802, 84.4644) indice: 655
Punto 656: (210.925, 43.1095) indice: 656
Punto 657: (211.018, 26.706) indice: 657
Punto 658: (211.115, 113.261) indice: 658
Punto 659: (211.208, 287.436) indice: 659
Punto 660: (211.307, 13.6866) indice: 660
Punto 661: (211.673, 103.584) indice: 661
Punto 662: (211.812, 290.294) indice: 662
Punto 663: (211.905, 105.285) indice: 663
Punto 664: (211.965, 9.31324) indice: 664
Punto 665: (212.074, 102.689) indice: 665
Punto 666: (212.083, 290.148) indice: 666
Punto 667: (212.091, 25.3365) indice: 667
Punto 668: (212.123, 104.2) indice: 668
Punto 669: (212.161, 283.466) indice: 669
Punto 670: (212.181, 36.4053) indice: 670
Punto 671: (212.465, 111.35) indice: 671
Punto 672: (213.353, 90.6464) indice: 672
Punto 673: (213.447, 109.815) indice: 673
Punto 674: (213.592, 289.265) indice: 674
Punto 675: (213.756, 91.3773) indice: 675
Punto 676: (213.758, 288.081) indice: 676
Punto 677: (213.775, 36.6927) indice: 677
Punto 678: (213.833, 16.1955) indice: 678
Punto 679: (213.882, 111.314) indice: 679
Punto 680: (213.966, 282.677) indice: 680
Punto 681: (214.308, 262.959) indice: 681
Punto 682: (214.549, 118.533) indice: 682
Punto 683: (214.657, 41.3819) indice: 683
Punto 684: (214.801, 106.504) indice: 684
Punto 685: (214.823, 284.072) indice: 685
Punto 686: (215.039, 47.9504) indice: 686
Punto 687: (215.285, 23.5797) indice: 687
Punto 688: (215.356, 14.5419) indice: 688
Punto 689: (215.506, 98.3707) indice: 689
Punto 690: (215.585, 291.984) indice: 690
Punto 691: (215.626, 107.969) indice: 691
Punto 692: (215.806, 49.5552) indice: 692
Punto 693: (215.926, 99.8303) indice: 693
Punto 694: (215.988, 275.348) indice: 694
Punto 695: (216.048, 278.949) indice: 695
Punto 696: (216.182, 264.183) indice: 696
Punto 697: (216.257, 97.0201) indice: 697
Punto 698: (216.515, 93.3159) indice: 698
Punto 699: (216.684, 1.30191) indice: 699
Punto 700: (216.72, 57.5275) indice: 700
Punto 701: (216.923, 14.2235) indice: 701
Punto 702: (217.276, 294.011) indice: 702
Punto 703: (217.332, 119.997) indice: 703
Punto 704: (217.379, 39.9166) indice: 704
Punto 705: (217.585, 121.649) indice: 705
Punto 706: (217.687, 37.9911) indice: 706
Punto 707: (217.896, 268.191) indice: 707
Punto 708: (218.17, 20.3617) indice: 708
Punto 709: (218.292, 93.9764) indice: 709
Punto 710: (218.398, 97.7414) indice: 710
Punto 711: (218.416, 274.093) indice: 711
Punto 712: (218.557, 90.5026) indice: 712
Punto 713: (218.634, 15.1104) indice: 713
Punto 714: (218.915, 111.65) indice: 714
Punto 715: (218.938, 287.486) indice: 715
Punto 716: (219.224, 48.8196) indice: 716
Punto 717: (219.432, 113.974) indice: 717
Punto 718: (219.965, 103.212) indice: 718
Punto 719: (22.161, 44.3654) indice: 719
Punto 720: (22.6396, 208.693) indice: 720
Punto 721: (22.9575, 93.9852) indice: 721
Punto 722: (220.243, 24.4047) indice: 722
Punto 723: (220.373, 100.89) indice: 723
Punto 724: (220.385, 39.0178) indice: 724
Punto 725: (221.216, 105.674) indice: 725
Punto 726: (221.455, 275.615) indice: 726
Punto 727: (221.621, 44.8795) indice: 727
Punto 728: (221.672, 279.14) indice: 728
Punto 729: (221.731, 31.0371) indice: 729
Punto 730: (221.802, 277.889) indice: 730
Punto 731: (221.843, 59.5674) indice: 731
Punto 732: (221.923, 89.6966) indice: 732
Punto 733: (222.134, 34.3909) indice: 733
Punto 734: (222.182, 105.488) indice: 734
Punto 735: (222.454, 8.67145) indice: 735
Punto 736: (222.499, 55.1584) indice: 736
Punto 737: (222.672, 11.9327) indice: 737
Punto 738: (222.835, 84.1162) indice: 738
Punto 739: (222.865, 289.759) indice: 739
Punto 740: (223.194, 96.3613) indice: 740
Punto 741: (223.305, 270.105) indice: 741
Punto 742: (223.31, 277.594) indice: 742
Punto 743: (223.356, 113.814) indice: 743
Punto 744: (223.358, 272.94) indice: 744
Punto 745: (223.409, 106.949) indice: 745
Punto 746: (223.452, 296.976) indice: 746
Punto 747: (223.608, 95.3724) indice: 747
Punto 748: (223.695, 4.06012) indice: 748
Punto 749: (223.999, 102.821) indice: 749
Punto 750: (224.12, 114.962) indice: 750
Punto 751: (224.385, 97.9561) indice: 751
Punto 752: (224.701, 293.041) indice: 752
Punto 753: (224.764, 2.53334) indice: 753
Punto 754: (225.125, 294.853) indice: 754
Punto 755: (225.7, 291.588) indice: 755
Punto 756: (225.791, 95.2677) indice: 756
Punto 757: (227.034, 279.912) indice: 757
Punto 758: (227.862, 88.9653) indice: 758
Punto 759: (229.132, 94.4606) indice: 759
Punto 760: (229.502, 10.2609) indice: 760
Punto 761: (229.659, 98.8754) indice: 761
Punto 762: (229.684, 30.1146) indice: 762
Punto 763: (23.3623, 285.951) indice: 763
Punto 764: (23.7872, 289.136) indice: 764
Punto 765: (23.884, 200.163) indice: 765
Punto 766: (23.9207, 35.8938) indice: 766
Punto 767: (230.242, 285.018) indice: 767
Punto 768: (230.611, 289.945) indice: 768
Punto 769: (230.867, 45.7224) indice: 769
Punto 770: (230.874, 40.3292) indice: 770
Punto 771: (231.073, 94.6165) indice: 771
Punto 772: (231.197, 116.425) indice: 772
Punto 773: (231.281, 28.8844) indice: 773
Punto 774: (231.368, 285.144) indice: 774
Punto 775: (233.172, 285.122) indice: 775
Punto 776: (233.436, 283.471) indice: 776
Punto 777: (233.736, 277.798) indice: 777
Punto 778: (233.829, 18.6673) indice: 778
Punto 779: (234.123, 297.28) indice: 779
Punto 780: (234.384, 275.894) indice: 780
Punto 781: (234.545, 27.4431) indice: 781
Punto 782: (234.653, 110.338) indice: 782
Punto 783: (234.842, 43.0641) indice: 783
Punto 784: (234.883, 293.422) indice: 784
Punto 785: (234.891, 31.5403) indice: 785
Punto 786: (234.969, 42.2141) indice: 786
Punto 787: (235.159, 16.6202) indice: 787
Punto 788: (235.985, 117.415) indice: 788
Punto 789: (236.158, 49.5483) indice: 789
Punto 790: (236.483, 18.5939) indice: 790
Punto 791: (236.918, 12.4616) indice: 791
Punto 792: (236.955, 24.4088) indice: 792
Punto 793: (237.673, 42.616) indice: 793
Punto 794: (237.747, 9.12436) indice: 794
Punto 795: (238.33, 24.7549) indice: 795
Punto 796: (238.379, 283.312) indice: 796
Punto 797: (238.938, 281.888) indice: 797
Punto 798: (239.064, 7.61924) indice: 798
Punto 799: (239.215, 36.9293) indice: 799
Punto 800: (239.384, 60.5946) indice: 800
Punto 801: (239.445, 4.87732) indice: 801
Punto 802: (239.618, 42.759) indice: 802
Punto 803: (239.682, 17.2854) indice: 803
Punto 804: (24.3597, 210.236) indice: 804
Punto 805: (24.4296, 41.6883) indice: 805
Punto 806: (24.5868, 295.885) indice: 806
Punto 807: (24.5874, 151.213) indice: 807
Punto 808: (24.9057, 286.048) indice: 808
Punto 809: (240.348, 57.0196) indice: 809
Punto 810: (240.702, 56.3685) indice: 810
Punto 811: (240.817, 30.3824) indice: 811
Punto 812: (241.856, 7.40436) indice: 812
Punto 813: (242.357, 62.4058) indice: 813
Punto 814: (242.448, 40.31) indice: 814
Punto 815: (242.695, 274.778) indice: 815
Punto 816: (242.701, 294.963) indice: 816
Punto 817: (243.125, 26.6097) indice: 817
Punto 818: (244.071, 14.9382) indice: 818
Punto 819: (244.256, 27.1521) indice: 819
Punto 820: (246.691, 36.1711) indice: 820
Punto 821: (246.704, 15.8595) indice: 821
Punto 822: (246.86, 9.60187) indice: 822
Punto 823: (247.318, 6.91436) indice: 823
Punto 824: (247.379, 14.0207) indice: 824
Punto 825: (247.898, 7.37009) indice: 825
Punto 826: (248.598, 44.1466) indice: 826
Punto 827: (25.0743, 146.545) indice: 827
Punto 828: (25.3564, 282.256) indice: 828
Punto 829: (25.4483, 208.181) indice: 829
Punto 830: (250.106, 33.303) indice: 830
Punto 831: (250.124, 22.8541) indice: 831
Punto 832: (251.032, 43.1508) indice: 832
Punto 833: (251.106, 53.8366) indice: 833
Punto 834: (251.948, 41.2378) indice: 834
Punto 835: (254.617, 35.0524) indice: 835
Punto 836: (254.997, 14.6123) indice: 836
Punto 837: (255.043, 60.4777) indice: 837
Punto 838: (256.26, 16.3745) indice: 838
Punto 839: (256.537, 52.6751) indice: 839
Punto 840: (256.933, 22.8585) indice: 840
Punto 841: (257.931, 20.8458) indice: 841
Punto 842: (258.051, 1.87009) indice: 842
Punto 843: (26.4705, 264.719) indice: 843
Punto 844: (260.05, 25.4425) indice: 844
Punto 845: (260.36, 38.0079) indice: 845
Punto 846: (261.088, 203.485) indice: 846
Punto 847: (261.236, 191.178) indice: 847
Punto 848: (262.361, 195.833) indice: 848
Punto 849: (263.886, 180.428) indice: 849
Punto 850: (264.322, 172.433) indice: 850
Punto 851: (264.784, 189.38) indice: 851
Punto 852: (266.194, 176.532) indice: 852
Punto 853: (266.317, 190.374) indice: 853
Punto 854: (267.336, 202.263) indice: 854
Punto 855: (267.418, 186.155) indice: 855
Punto 856: (268.011, 211.385) indice: 856
Punto 857: (268.287, 199.3) indice: 857
Punto 858: (268.343, 178.48) indice: 858
Punto 859: (268.778, 185.15) indice: 859
Punto 860: (268.97, 177.171) indice: 860
Punto 861: (269.009, 194.744) indice: 861
Punto 862: (269.369, 202.509) indice: 862
Punto 863: (269.488, 204.137) indice: 863
Punto 864: (269.777, 227.139) indice: 864
Punto 865: (27.0159, 273.326) indice: 865
Punto 866: (27.3849, 203.655) indice: 866
Punto 867: (27.7068, 93.3689) indice: 867
Punto 868: (27.9535, 275.111) indice: 868
Punto 869: (270.094, 199.097) indice: 869
Punto 870: (270.18, 162.686) indice: 870
Punto 871: (270.34, 179.083) indice: 871
Punto 872: (270.521, 185.769) indice: 872
Punto 873: (270.81, 171.433) indice: 873
Punto 874: (271.838, 191.293) indice: 874
Punto 875: (271.999, 191.305) indice: 875
Punto 876: (273.147, 201.634) indice: 876
Punto 877: (274.017, 168.348) indice: 877
Punto 878: (274.21, 175.765) indice: 878
Punto 879: (275.031, 192.986) indice: 879
Punto 880: (275.771, 170.781) indice: 880
Punto 881: (276.117, 83.8389) indice: 881
Punto 882: (276.899, 196.887) indice: 882
Punto 883: (277.369, 217.753) indice: 883
Punto 884: (277.952, 201.202) indice: 884
Punto 885: (277.985, 76.1008) indice: 885
Punto 886: (278.688, 64.6527) indice: 886
Punto 887: (278.716, 208.004) indice: 887
Punto 888: (278.996, 161.903) indice: 888
Punto 889: (279.01, 219.053) indice: 889
Punto 890: (279.02, 195.114) indice: 890
Punto 891: (279.17, 83.7113) indice: 891
Punto 892: (279.211, 205.088) indice: 892
Punto 893: (279.293, 213.947) indice: 893
Punto 894: (279.321, 219.109) indice: 894
Punto 895: (279.53, 189.048) indice: 895
Punto 896: (279.676, 73.2678) indice: 896
Punto 897: (279.678, 184.578) indice: 897
Punto 898: (279.855, 95.5008) indice: 898
Punto 899: (28.3963, 105.472) indice: 899
Punto 900: (28.5346, 273) indice: 900
Punto 901: (28.645, 265.627) indice: 901
Punto 902: (280.035, 159.796) indice: 902
Punto 903: (280.136, 88.8603) indice: 903
Punto 904: (280.393, 169.288) indice: 904
Punto 905: (280.4, 184.799) indice: 905
Punto 906: (280.408, 100.11) indice: 906
Punto 907: (280.546, 191.914) indice: 907
Punto 908: (280.831, 220.691) indice: 908
Punto 909: (280.902, 95.3771) indice: 909
Punto 910: (281.078, 90.258) indice: 910
Punto 911: (281.157, 82.8704) indice: 911
Punto 912: (281.762, 74.6936) indice: 912
Punto 913: (281.964, 199.563) indice: 913
Punto 914: (282.129, 225.716) indice: 914
Punto 915: (282.264, 78.156) indice: 915
Punto 916: (282.578, 83.8065) indice: 916
Punto 917: (283.133, 197.571) indice: 917
Punto 918: (283.163, 218.992) indice: 918
Punto 919: (283.29, 171.61) indice: 919
Punto 920: (283.867, 175.797) indice: 920
Punto 921: (284.139, 156.744) indice: 921
Punto 922: (284.676, 62.3372) indice: 922
Punto 923: (285.057, 177.706) indice: 923
Punto 924: (285.282, 95.0835) indice: 924
Punto 925: (285.516, 92.3032) indice: 925
Punto 926: (285.908, 219.421) indice: 926
Punto 927: (286.038, 68.3784) indice: 927
Punto 928: (286.063, 79.131) indice: 928
Punto 929: (286.244, 182.265) indice: 929
Punto 930: (286.416, 87.1055) indice: 930
Punto 931: (286.567, 221.421) indice: 931
Punto 932: (286.697, 74.1525) indice: 932
Punto 933: (286.747, 177.43) indice: 933
Punto 934: (286.867, 97.9592) indice: 934
Punto 935: (286.96, 163.109) indice: 935
Punto 936: (286.98, 55.6368) indice: 936
Punto 937: (286.982, 66.8072) indice: 937
Punto 938: (287.065, 85.9047) indice: 938
Punto 939: (287.639, 53.442) indice: 939
Punto 940: (288.02, 181.703) indice: 940
Punto 941: (288.036, 79.6499) indice: 941
Punto 942: (288.238, 207.576) indice: 942
Punto 943: (288.277, 72.4706) indice: 943
Punto 944: (288.343, 159.396) indice: 944
Punto 945: (288.581, 101.038) indice: 945
Punto 946: (288.678, 175.478) indice: 946
Punto 947: (288.923, 62.8139) indice: 947
Punto 948: (289.086, 80.6432) indice: 948
Punto 949: (289.241, 167.981) indice: 949
Punto 950: (289.541, 64.4448) indice: 950
Punto 951: (289.96, 84.4617) indice: 951
Punto 952: (29.8169, 2.77617) indice: 952
Punto 953: (290.132, 70.0091) indice: 953
Punto 954: (290.145, 80.8743) indice: 954
Punto 955: (290.41, 223.114) indice: 955
Punto 956: (290.716, 230.402) indice: 956
Punto 957: (290.943, 176.968) indice: 957
Punto 958: (291.073, 73.3695) indice: 958
Punto 959: (291.481, 65.5972) indice: 959
Punto 960: (291.536, 89.8303) indice: 960
Punto 961: (291.619, 79.7625) indice: 961
Punto 962: (291.753, 164.505) indice: 962
Punto 963: (292.187, 53.7982) indice: 963
Punto 964: (292.215, 80.5063) indice: 964
Punto 965: (292.295, 87.478) indice: 965
Punto 966: (292.367, 56.3648) indice: 966
Punto 967: (292.741, 59.2742) indice: 967
Punto 968: (292.924, 89.2388) indice: 968
Punto 969: (292.976, 208.078) indice: 969
Punto 970: (293.024, 202.991) indice: 970
Punto 971: (293.297, 213.732) indice: 971
Punto 972: (293.327, 72.7504) indice: 972
Punto 973: (293.65, 73.9336) indice: 973
Punto 974: (293.914, 76.0216) indice: 974
Punto 975: (293.976, 208.497) indice: 975
Punto 976: (294.684, 222.06) indice: 976
Punto 977: (294.699, 69.0291) indice: 977
Punto 978: (295.248, 80.6702) indice: 978
Punto 979: (296.317, 181.354) indice: 979
Punto 980: (296.323, 81.9574) indice: 980
Punto 981: (296.579, 102.401) indice: 981
Punto 982: (296.787, 59.668) indice: 982
Punto 983: (296.821, 57.1672) indice: 983
Punto 984: (297.081, 91.6395) indice: 984
Punto 985: (297.569, 67.7938) indice: 985
Punto 986: (297.861, 79.9337) indice: 986
Punto 987: (297.907, 168.428) indice: 987
Punto 988: (297.999, 65.0895) indice: 988
Punto 989: (298.083, 78.9523) indice: 989
Punto 990: (298.35, 52.5315) indice: 990
Punto 991: (298.837, 56.6017) indice: 991
Punto 992: (299.068, 53.4591) indice: 992
Punto 993: (299.156, 68.7821) indice: 993
Punto 994: (299.38, 93.1237) indice: 994
Punto 995: (299.484, 201.502) indice: 995
Punto 996: (299.491, 69.4887) indice: 996
Punto 997: (299.677, 216.737) indice: 997
Punto 998: (299.718, 68.5493) indice: 998
Punto 999: (299.873, 57.9098) indice: 999
Punto 1000: (3.38352, 231.762) indice: 1000
Punto 1001: (3.45399, 190.763) indice: 1001
Punto 1002: (30.1619, 255.164) indice: 1002
Punto 1003: (30.3168, 159.906) indice: 1003
Punto 1004: (30.5523, 94.6405) indice: 1004
Punto 1005: (30.6125, 255.728) indice: 1005
Punto 1006: (30.9205, 288.648) indice: 1006
Punto 1007: (300.29, 91.6792) indice: 1007
Punto 1008: (300.611, 89.6948) indice: 1008
Punto 1009: (300.677, 86.0418) indice: 1009
Punto 1010: (300.686, 72.5245) indice: 1010
Punto 1011: (300.907, 57.6054) indice: 1011
Punto 1012: (300.911, 216.172) indice: 1012
Punto 1013: (301.364, 104.596) indice: 1013
Punto 1014: (301.645, 225.469) indice: 1014
Punto 1015: (301.74, 100.84) indice: 1015
Punto 1016: (301.744, 83.1012) indice: 1016
Punto 1017: (302.175, 163.204) indice: 1017
Punto 1018: (302.194, 192.711) indice: 1018
Punto 1019: (302.231, 56.6119) indice: 1019
Punto 1020: (302.759, 103.051) indice: 1020
Punto 1021: (302.797, 81.2891) indice: 1021
Punto 1022: (303.282, 81.9498) indice: 1022
Punto 1023: (303.464, 190.546) indice: 1023
Punto 1024: (304.035, 75.6805) indice: 1024
Punto 1025: (304.25, 221.527) indice: 1025
Punto 1026: (304.371, 80.4167) indice: 1026
Punto 1027: (304.526, 58.1676) indice: 1027
Punto 1028: (304.619, 68.838) indice: 1028
Punto 1029: (304.689, 74.8613) indice: 1029
Punto 1030: (305.177, 100.299) indice: 1030
Punto 1031: (305.495, 53.1211) indice: 1031
Punto 1032: (306.205, 93.6694) indice: 1032
Punto 1033: (306.221, 69.9046) indice: 1033
Punto 1034: (306.346, 81.1233) indice: 1034
Punto 1035: (306.554, 195.856) indice: 1035
Punto 1036: (307.42, 72.2642) indice: 1036
Punto 1037: (307.625, 98.1791) indice: 1037
Punto 1038: (307.719, 60.7106) indice: 1038
Punto 1039: (307.765, 69.728) indice: 1039
Punto 1040: (308.009, 90.1557) indice: 1040
Punto 1041: (308.119, 89.2176) indice: 1041
Punto 1042: (308.226, 214.218) indice: 1042
Punto 1043: (308.454, 90.9906) indice: 1043
Punto 1044: (308.691, 64.638) indice: 1044
Punto 1045: (309.219, 66.4521) indice: 1045
Punto 1046: (309.775, 70.3156) indice: 1046
Punto 1047: (309.819, 74.3745) indice: 1047
Punto 1048: (309.911, 218.128) indice: 1048
Punto 1049: (31.3197, 87.9904) indice: 1049
Punto 1050: (31.535, 266.713) indice: 1050
Punto 1051: (310.116, 13.1009) indice: 1051
Punto 1052: (310.36, 95.275) indice: 1052
Punto 1053: (311.01, 91.9892) indice: 1053
Punto 1054: (311.073, 97.7415) indice: 1054
Punto 1055: (311.306, 71.9785) indice: 1055
Punto 1056: (311.495, 66.75) indice: 1056
Punto 1057: (311.586, 96.9786) indice: 1057
Punto 1058: (312.445, 102.123) indice: 1058
Punto 1059: (313.089, 173.696) indice: 1059
Punto 1060: (313.093, 191.925) indice: 1060
Punto 1061: (313.694, 57.24) indice: 1061
Punto 1062: (313.805, 95.3082) indice: 1062
Punto 1063: (313.97, 186.987) indice: 1063
Punto 1064: (314.5, 187.884) indice: 1064
Punto 1065: (314.512, 50.5232) indice: 1065
Punto 1066: (314.525, 87.3481) indice: 1066
Punto 1067: (314.606, 188.995) indice: 1067
Punto 1068: (314.85, 188.23) indice: 1068
Punto 1069: (315.752, 102.865) indice: 1069
Punto 1070: (316.026, 14.448) indice: 1070
Punto 1071: (316.109, 89.597) indice: 1071
Punto 1072: (316.581, 88.2067) indice: 1072
Punto 1073: (317.145, 67.2488) indice: 1073
Punto 1074: (318.164, 57.795) indice: 1074
Punto 1075: (318.168, 84.0187) indice: 1075
Punto 1076: (318.517, 206.505) indice: 1076
Punto 1077: (318.593, 217.947) indice: 1077
Punto 1078: (318.608, 56.4618) indice: 1078
Punto 1079: (318.781, 284.069) indice: 1079
Punto 1080: (318.862, 83.4071) indice: 1080
Punto 1081: (318.906, 183.547) indice: 1081
Punto 1082: (319.653, 196.988) indice: 1082
Punto 1083: (32.3751, 86.6877) indice: 1083
Punto 1084: (32.52, 144.632) indice: 1084
Punto 1085: (32.8557, 264.559) indice: 1085
Punto 1086: (320.023, 104.214) indice: 1086
Punto 1087: (320.351, 59.0194) indice: 1087
Punto 1088: (320.467, 201.513) indice: 1088
Punto 1089: (320.517, 212.596) indice: 1089
Punto 1090: (320.724, 67.057) indice: 1090
Punto 1091: (320.748, 91.683) indice: 1091
Punto 1092: (320.966, 81.2882) indice: 1092
Punto 1093: (321.064, 97.7465) indice: 1093
Punto 1094: (321.368, 272.095) indice: 1094
Punto 1095: (321.688, 186.705) indice: 1095
Punto 1096: (321.785, 188.448) indice: 1096
Punto 1097: (321.869, 192.551) indice: 1097
Punto 1098: (321.938, 107.513) indice: 1098
Punto 1099: (322.246, 95.7502) indice: 1099
Punto 1100: (322.263, 192.956) indice: 1100
Punto 1101: (322.321, 284.123) indice: 1101
Punto 1102: (322.466, 270.125) indice: 1102
Punto 1103: (322.528, 100.942) indice: 1103
Punto 1104: (322.659, 189.784) indice: 1104
Punto 1105: (322.785, 55.3353) indice: 1105
Punto 1106: (323.041, 11.9138) indice: 1106
Punto 1107: (323.386, 196.773) indice: 1107
Punto 1108: (323.596, 56.4832) indice: 1108
Punto 1109: (323.65, 69.779) indice: 1109
Punto 1110: (324.052, 83.422) indice: 1110
Punto 1111: (324.519, 203.765) indice: 1111
Punto 1112: (324.686, 184.922) indice: 1112
Punto 1113: (324.76, 88.5558) indice: 1113
Punto 1114: (325.073, 95.4491) indice: 1114
Punto 1115: (325.356, 85.8018) indice: 1115
Punto 1116: (325.765, 189.418) indice: 1116
Punto 1117: (325.937, 83.4438) indice: 1117
Punto 1118: (325.975, 176.518) indice: 1118
Punto 1119: (326.152, 286.005) indice: 1119
Punto 1120: (326.181, 12.6659) indice: 1120
Punto 1121: (326.19, 86.8624) indice: 1121
Punto 1122: (326.389, 3.81738) indice: 1122
Punto 1123: (326.589, 200.29) indice: 1123
Punto 1124: (326.676, 80.699) indice: 1124
Punto 1125: (327.202, 19.5166) indice: 1125
Punto 1126: (327.402, 67.5748) indice: 1126
Punto 1127: (327.508, 204.33) indice: 1127
Punto 1128: (327.524, 62.0498) indice: 1128
Punto 1129: (327.625, 9.71582) indice: 1129
Punto 1130: (327.685, 79.8875) indice: 1130
Punto 1131: (327.985, 180.553) indice: 1131
Punto 1132: (328.124, 93.1175) indice: 1132
Punto 1133: (328.157, 183.377) indice: 1133
Punto 1134: (328.242, 9.2128) indice: 1134
Punto 1135: (328.406, 11.8199) indice: 1135
Punto 1136: (328.464, 192.496) indice: 1136
Punto 1137: (328.772, 91.2057) indice: 1137
Punto 1138: (328.94, 272.904) indice: 1138
Punto 1139: (328.975, 97.2072) indice: 1139
Punto 1140: (329.057, 21.1489) indice: 1140
Punto 1141: (329.111, 178.711) indice: 1141
Punto 1142: (329.327, 287.255) indice: 1142
Punto 1143: (329.593, 272.422) indice: 1143
Punto 1144: (329.597, 80.0546) indice: 1144
Punto 1145: (329.641, 54.3163) indice: 1145
Punto 1146: (329.709, 65.413) indice: 1146
Punto 1147: (329.835, 73.7241) indice: 1147
Punto 1148: (329.867, 5.72564) indice: 1148
Punto 1149: (329.962, 10.7318) indice: 1149
Punto 1150: (33.1377, 158.792) indice: 1150
Punto 1151: (33.3332, 104.548) indice: 1151
Punto 1152: (33.5541, 259.176) indice: 1152
Punto 1153: (33.9798, 65.1522) indice: 1153
Punto 1154: (330.219, 78.671) indice: 1154
Punto 1155: (330.307, 187.571) indice: 1155
Punto 1156: (330.63, 81.3042) indice: 1156
Punto 1157: (330.688, 3.79008) indice: 1157
Punto 1158: (330.742, 4.18702) indice: 1158
Punto 1159: (330.805, 102.047) indice: 1159
Punto 1160: (331.365, 177.327) indice: 1160
Punto 1161: (331.396, 179.647) indice: 1161
Punto 1162: (331.657, 12.4967) indice: 1162
Punto 1163: (331.681, 60.01) indice: 1163
Punto 1164: (331.778, 84.3294) indice: 1164
Punto 1165: (331.827, 197.622) indice: 1165
Punto 1166: (331.915, 105.012) indice: 1166
Punto 1167: (333.033, 24.6025) indice: 1167
Punto 1168: (333.214, 67.7893) indice: 1168
Punto 1169: (333.256, 14.582) indice: 1169
Punto 1170: (333.523, 21.9374) indice: 1170
Punto 1171: (333.687, 82.3971) indice: 1171
Punto 1172: (333.753, 20.334) indice: 1172
Punto 1173: (334.051, 176.388) indice: 1173
Punto 1174: (334.102, 274.412) indice: 1174
Punto 1175: (334.133, 106.951) indice: 1175
Punto 1176: (334.454, 13.4107) indice: 1176
Punto 1177: (335.65, 78.6594) indice: 1177
Punto 1178: (335.877, 184.915) indice: 1178
Punto 1179: (335.931, 91.0269) indice: 1179
Punto 1180: (336.258, 15.6751) indice: 1180
Punto 1181: (336.416, 176.758) indice: 1181
Punto 1182: (336.46, 277.682) indice: 1182
Punto 1183: (337.052, 73.6753) indice: 1183
Punto 1184: (337.12, 78.4757) indice: 1184
Punto 1185: (337.308, 192.884) indice: 1185
Punto 1186: (337.359, 24.1677) indice: 1186
Punto 1187: (337.412, 75.0549) indice: 1187
Punto 1188: (337.565, 190.175) indice: 1188
Punto 1189: (337.661, 82.7038) indice: 1189
Punto 1190: (337.754, 270.727) indice: 1190
Punto 1191: (338.04, 270.712) indice: 1191
Punto 1192: (338.185, 69.5597) indice: 1192
Punto 1193: (338.301, 3.21) indice: 1193
Punto 1194: (338.332, 85.6729) indice: 1194
Punto 1195: (339.345, 69.9661) indice: 1195
Punto 1196: (339.566, 72.662) indice: 1196
Punto 1197: (339.673, 86.5537) indice: 1197
Punto 1198: (34.1168, 278.26) indice: 1198
Punto 1199: (34.6189, 41.7993) indice: 1199
Punto 1200: (34.751, 144.785) indice: 1200
Punto 1201: (34.7752, 144.875) indice: 1201
Punto 1202: (340.12, 22.674) indice: 1202
Punto 1203: (340.126, 5.37662) indice: 1203
Punto 1204: (340.153, 286.94) indice: 1204
Punto 1205: (340.494, 26.1012) indice: 1205
Punto 1206: (341.128, 73.1248) indice: 1206
Punto 1207: (341.151, 71.9751) indice: 1207
Punto 1208: (341.425, 63.1599) indice: 1208
Punto 1209: (341.557, 276.578) indice: 1209
Punto 1210: (341.722, 9.8217) indice: 1210
Punto 1211: (341.741, 0.710648) indice: 1211
Punto 1212: (341.751, 71.3611) indice: 1212
Punto 1213: (341.814, 21.5793) indice: 1213
Punto 1214: (342.073, 280.302) indice: 1214
Punto 1215: (342.997, 25.8443) indice: 1215
Punto 1216: (343.685, 88.0147) indice: 1216
Punto 1217: (344.018, 6.8514) indice: 1217
Punto 1218: (344.241, 4.92709) indice: 1218
Punto 1219: (344.28, 10.5604) indice: 1219
Punto 1220: (344.392, 270.384) indice: 1220
